Group Member,Route Number,Side of Street,Relative Spot Number,Absolute Spot Number,Regulation,6:00 AM,7:00 AM,8:00 AM,9:00 AM,10:00 AM,11:00 AM,12:00 PM,1:00 PM,2:00 PM,3:00 PM,4:00 PM,5:00 PM,6:00 PM,7:00 PM,8:00 PM,Street Name,Street Direction,Start Bound Street,End Bound Street
Ysabelle,1,Right,1,1,Resident Only,,,,,Construction,Construction,Construction,Construction,Construction,Construction,Construction,,,,,Massachusetts Avenue,North,Shawmut Avenue,Chester Square - Entrance
Ysabelle,1,Right,2,2,Resident Only,,,,,Construction,Construction,Construction,Construction,Construction,Construction,Construction,,,,,,,,
Ysabelle,1,Right,3,3,Resident Only,,,,,Construction,Construction,Construction,Construction,Construction,Construction,Construction,,,55K,55K,,,,
Ysabelle,1,Right,4,4,Resident Only,1AH,,,,Construction,Construction,Construction,Construction,Construction,Construction,Construction,2YD,2YD,2YD,2YD,,,,
Ysabelle,1,Right,5,5,Resident Only,V41,,,,Construction,Construction,Construction,Construction,Construction,Construction,Construction,6WW,6WW,6WW,6WW,,,,
Ysabelle,1,Right,6,6,Resident Only,,,,,Construction,Construction,Construction,Construction,Construction,Construction,Construction,27B,V41,,58G,,,,
Ysabelle,1,Right,7,7,Resident Only,7XF,,,,Construction,Construction,Construction,Construction,Construction,Construction,Construction,,,5EC,5EC,,,,
Ysabelle,2,Right,1,8,Resident Only,,,,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,,,,
Ysabelle,2,Right,2,9,Resident Only,5LJ,,,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,,,,
Ysabelle,2,Right,3,10,Resident Only,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,,,,
Ysabelle,2,Right,4,11,Resident Only,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,,,,
Ysabelle,2,Right,5,12,Resident Only,,,,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,,,,
Ysabelle,2,Right,6,13,Resident Only,,,,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,,,,
Ysabelle,2,Right,7,14,Resident Only,,,,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,,,,
Ysabelle,2,Right,8,15,Resident Only,,,,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,1DH,,,,
Ysabelle,2,Right,9,16,Resident Only,,,,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,,,,
Ysabelle,2,Right,10,17,Resident Only,,,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,,,,
Ysabelle,2,Right,11,18,Resident Only,,,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,,,,
Ysabelle,2,Right,1,19,Resident Only,,,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,,,,
Ysabelle,2,Right,2,20,Resident Only,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,,,,
Ysabelle,2,Right,3,21,Resident Only,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,,,,
Ysabelle,2,Right,4,22,Resident Only,9XB,472,472,472,472,,Construction,Construction,Construction,Construction,Construction,Construction,,,9XB,,,,
Ysabelle,2,Right,5,23,Resident Only,,,,576,,,Construction,Construction,Construction,Construction,Construction,Construction,,,,,,,
Ysabelle,2,Right,6,24,Resident Only,1JG,1JG,1JG,,,,Construction,Construction,Construction,Construction,Construction,Construction,,,,,,,
Ysabelle,2,Right,7,25,Resident Only,,,,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,,,,,,,
Ysabelle,2,Right,8,26,Resident Only,,,,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,,,,,,,
Ysabelle,2,Right,9,27,Resident Only,,,,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,1HZ,1LS,1LS,,,,
Ysabelle,2,Right,10,28,Resident Only,1MG,,,,,,Construction,Construction,Construction,Construction,Construction,Construction,1MG,1MG,1MG,,,,
Ysabelle,2,Right,11,29,Resident Only,7WC,,,1HZ,1HZ,,Construction,Construction,Construction,Construction,Construction,Construction,,,,,,,
Ysabelle,3,Right,1,30,Resident Only,,20M,20M,20M,20M,20M,20M,20M,,7WJ,7WG,,749,7WJ,,,,,
Ysabelle,,Right,2,31,Resident Only,1GA,1GA,1GA,1GA,1GA,1GA,1GA,1GA,1GA,1GA,1GA,1GA,1GA,1GA,1GA,,,,
Ysabelle,,Right,3,32,Resident Only,1RC,1RC,1RC,,1MH,1MH,1MH,1MH,1MH,1MH,1MH,1MH,,1DG,1DG,,,,
Ysabelle,,Right,4,33,Resident Only,Blocked,Blocked,Blocked,Blocked,Blocked,Blocked,Blocked,Blocked,Blocked,Blocked,Blocked,Blocked,,,,,,,
Ysabelle,,Right,1,34,Resident Only,8RJ,8RJ,8RJ,8RJ,367,367,367,367,367,5HT,,,,Blocked,,,,,
Ysabelle,,Right,2,35,Resident Only,,,,,H93,IHL,Blocked,Blocked,Blocked,Blocked,,,,8TX,8TX,,,,
Ysabelle,,Right,3,36,Resident Only,5EC,5EC,5EC,,Blocked,Blocked,7WJ,7WJ,547,547,547,,CLR,CLR,CLR,,,,
Ysabelle,,Right,4,37,Resident Only,6BX,6BX,6BX,6BX,6BX,6BX,6BX,6BX,6BX,6BX,6BX,6BX,6BX,6BX,,,,,
Ysabelle,,Right,1,38,Resident Only,SN3,SN3,SN3,SN3,SN3,SN3,SN3,SN3,SN3,SN3,SN3,SN3,,,,,,,
Ysabelle,,Right,2,39,Resident Only,9DP,9DP,9DP,9DP,9DP,9DP,9DP,9DP,9DP,1TS,1TS,1TS,1TS,1TS,,,,,
Ysabelle,,Right,3,40,Resident Only,1NR,1NR,1NR,1NR,1NR,ITS,8WC,Blocked,Blocked,Blocked,Blocked,,,,,,,,
Ysabelle,,Right,4,41,Resident Only,,,,,,Blocked,Blocked,8GW,8GW,,2YD,,,,,,,,
Ysabelle,,Right,1,42,Resident Only,1DL,1DL,,,619,619,619,619,26B,26B,,,,,,,,,
Ysabelle,,Right,2,43,Resident Only,1VE,1VE,1VE,1VE,1VE,1VE,1VE,1VE,1VE,1VE,,,7XP,,72A,,,,
Ysabelle,,Right,3,44,Resident Only,CKI,,3JF,3JF,3JF,3JF,3JF,3JF,3JF,3JF,3JF,3JF,3JF,9CG,9CG,,,,
Ysabelle,,Right,4,45,Resident Only,1HX,1HX,1HX,1HX,1HX,1HX,1HX,1HX,1HX,1HX,1HX,1HX,1HX,1HX,1HX,,,,
Ysabelle,,Right,1,46,Resident Only,,5CP,5CP,5CP,5CP,IRC,IRC,IRC,,,,,,251,,,,,
Ysabelle,,Right,2,47,Resident Only,3YK,3YK,3YK,3YK,IRL,,Blocked,Blocked,,,,,,Blcoked,,,,,
Ysabelle,,Right,3,48,Resident Only,,1HV,1HV,1HV,1HV,3YK,3YK,3YK,3YK,3YK,3YK,3YK,3YK,3YK,3YK,,,,
Ysabelle,,Right,4,49,Resident Only,,,,,,ISG,ISG,ISG,ISG,,,,,,,,,,
Ysabelle,,Right,1,50,Resident Only,5ML,5ML,5ML,5ML,5ML,5ML,5ML,5ML,5ML,5ML,5ML,5ML,,1AH,,,,,
Ysabelle,,Right,2,51,Resident Only,1HV,1HV,1HV,1HV,1HV,1HV,1HV,1HV,1HV,1HV,1HV,1HV,1HV,1HV,1HV,,,,
Ysabelle,,Right,3,52,Resident Only,9NX,,,,,P62,P62,2HA,2HA,6SN,6SN,6SN,6SN,6SN,6SN,,,,
Ysabelle,,Right,4,53,Resident Only,,,,,,,,,,,,,,,,,,,
Ysabelle,,Right,1,54,Unrestricted,7JF,7JF,,,,813,813,813,813,813,813,813,813,813,813,,,,
Ysabelle,,Right,1,55,Unrestricted,1NV,1NV,,9NX,9NX,9NX,9NX,9NX,9NX,9NX,9NX,9NX,7DL,1M4,8NC,,,,
Ysabelle,,Right,2,56,Unrestricted,6CF,6CF,5GC,5GC,5GC,5GC,5GC,5GC,5GC,5GC,5GC,5GC,,1NV,1NV,,,,
Ysabelle,,Right,3,57,Unrestricted,7DL,ZKZ,ZKZ,ZKZ,ZKZ,ZKZ,ZKZ,ZKZ,ZKZ,ZKZ,ZKZ,ZKZ,ZKZ,ZKZ,ZKZ,,,,
Ysabelle,,Right,4,58,Unrestricted,6LZ,6LZ,6LZ,,,,,,8NC,8NC,6VJ,,,,BGW,,,,
Ysabelle,,Right,1,59,Unrestricted,,IRL,IRL,IRL,IRL,IRL,IRL,IRL,IRL,IRL,IRL,,,9JL,6DY,,,,
Ysabelle,,Right,2,60,Unrestricted,6RG,6RG,6RG,,9GB,9GB,9GB,9GB,9GB,,7JF,155,,,,,,,
Ysabelle,,Right,3,61,Unrestricted,1KP,1KP,,,,7RJ,7RJ,7RJ,7RJ,7RJ,7RJ,,,,,,,,
Ysabelle,,Right,1,62,Metered,810,,V25,,F2G,,1MS,,,,959,,T69,T69,T69,,,,
Ysabelle,,Right,2,63,Metered,75D,4LE,4LE,,V21,UP3,UP3,,237,,,,,8DP,444,,,,
Ysabelle,,Right,3,64,Metered,JBG,JBG,JBG,JBG,JBG,JBG,8DZ,924,,456,,,LRS,LRS,LRS,,,,
Ysabelle,,Right,4,65,Metered,AEW,AEW,AEW,AEW,85N,3LS,3LS,7JM,7JM,UTJ,1KM,,8CF,5LB,5LB,,,,
Ysabelle,,Right,1,66,Metered,441,441,,,374,261,261,7ZW,,,,,7MM,7MM,7MM,,,,
Ysabelle,,Right,2,67,Metered,818,818,,,,6WP,2RT,,LCB,,,441,441,441,441,,,,
Ysabelle,,Right,3,68,Metered,1TS,1TS,1TS,1TS,1TS,5WR,1NJ,1NJ,1NJ,6EA,R32,R32,6KB,6KB,6KB,,,,
Ysabelle,,Right,4,69,Metered,6DJ,6DJ,,,3PR,3PR,,3TB,31A,1NJ,,,665,492,HWW,,,,
Ysabelle,,Right,1,70,Unrestricted,707,707,707,707,707,707,707,707,,1TS,1TS,1TS,1TS,1TS,1TS,,,,
Ysabelle,,Right,2,71,Unrestricted,NE1,NE2,NE3,NE4,NE5,NE6,NE7,NE8,NE9,NE10,NE11,NE12,NE13,NE14,NE15,,,,
Ysabelle,,Right,3,72,Unrestricted,1EN,1EN,8XN,8XN,8XN,8XN,8XN,8XN,8XN,8XN,8XN,8XN,6PG,6PG,6PG,,,,
Ysabelle,,Right,4,73,Unrestricted,,,,,,,,,,1EN,1EN,1EN,1EN,1EN,1EN,,,,
Ysabelle,,Right,1,74,Unrestricted,994,994,,,,587,V30,,,,,9NH,,387,387,,,,
Ysabelle,,Right,2,75,Unrestricted,,,,,,,,,,,,,,,,,,,
Ysabelle,,Right,1,76,Unrestricted,,,,,,,,,,,,,,,,,,,
Ysabelle,,Right,1,77,Unrestricted,EV8,EV8,EV8,4AC,4AC,4AC,4AC,4AC,4AC,4AC,4AC,4AC,1BS,1BS,1BS,,,,
Ysabelle,,Right,2,78,Unrestricted,1HK,1HK,1HK,1HK,1HK,1HK,1HK,1HK,1HK,1HK,1HK,1HK,1HK,1HK,1HK,,,,
Ysabelle,,Right,1,79,Unrestricted,585,585,585,585,673,6ZJ,6ZJ,6ZJ,6ZJ,6ZJ,6ZJ,6ZJ,4A9,EZG,EZG,,,,
Ysabelle,,Right,2,80,Unrestricted,981,981,981,6RG,6RG,6RG,6RG,6RG,6RG,6RG,6RG,,HZL,4VR,4VR,,,,
Ysabelle,,Right,3,81,Unrestricted,8NC,8NC,8NC,5CL,5CL,5CL,5CL,5CL,5CL,5CL,5CL,5CL,6CF,6CF,6CF,,,,
Ysabelle,,Right,1,82,Unrestricted,204,204,204,,586,1SH,1SH,1SH,,95G,95G,95G,95G,6LZ,6LZ,,,,
Ysabelle,,Right,2,83,Unrestricted,Blocked,Blocked,Blocked,Blocked,Blocked,Blocked,Blocked,Blocked,Blocked,Blocked,Blocked,Blocked,Blocked,Blocked,Blocked,,,,
Ysabelle,,Right,1,84,Unrestricted,3GC,3GC,,,548,548,548,548,548,548,548,,,,,,,,
Ysabelle,,Right,2,85,Unrestricted,8XX,8XX,8XX,8XX,R29,,Blocked,Blocked,,Blocked,Blocked,,4TC,4TC,4TC,,,,
Ysabelle,,Right,1,86,Unrestricted,962,,564,564,564,564,564,564,564,564,564,564,6ES,6ES,6ES,,,,
Ysabelle,,Right,2,87,Unrestricted,45J,45J,45J,45J,,62G,62G,62G,62G,62G,62G,62G,617,8BG,8BG,,,,
Ysabelle,,Right,3,88,Unrestricted,Blocked,Blocked,Blocked,Blocked,Blocked,Blocked,Blocked,Blocked,Blocked,Blocked,Blocked,Blocked,Blocked,Blocked,Blocked,,,,
Ysabelle,,Right,4,89,Unrestricted,643,643,643,643,643,643,643,643,643,6LR,6LR,,8BY,8BY,8BY,,,,
Ysabelle,,Right,1,90,Unrestricted,1HR,1HR,1HR,1HR,1HR,1HR,1HR,1HR,1HR,1HR,1HR,1HR,1HR,1HR,1HR,,,,
Ysabelle,,Right,2,91,Unrestricted,9LJ,9LJ,9LJ,9LJ,9LJ,9LJ,9LJ,9LJ,9LJ,9LJ,9LJ,9LJ,9LJ,9LJ,9LJ,,,,
Lal,,Right,1,92,Resident Only,704L,704L,620,620,620,620,620,,,SSW,SSW,SSW,SSW,SSW,SSW,,,,
Lal,,Right,1,93,Resident Only,3PX,,,962,962,962,962,962,962,962,962,204,204,204,204,,,,
Lal,,Right,2,94,Resident Only,,,,,Blocked,Blocked,Blocked,Blocked,Blocked,Blocked,Blocked,Blocked,Blocked,Blocked,Blocked,,,,
Lal,,Right,3,95,Resident Only,9FP,9FP,9FP,9FP,9FP,9FP,9FP,9FP,9FP,9FP,9FP,9FP,9FP,9FP,9FP,,,,
Lal,,Right,1,96,Resident Only,5VT,5VT,5VT,5VT,,3GC,3GC,3GC,3GC,7DK,7DK,7DK,7DK,7DK,7DK,,,,
Lal,,Right,2,97,Resident Only,8FP,,,T24,T25,T26,T27,T28,2GG,2GG,2GG,2GG,2GG,2GG,2GG,,,,
Lal,,Right,3,98,Resident Only,6WY,6WY,,SDY,SDY,SDY,SDY,SDY,SDY,SDY,SDY,SDY,Blocked,7JF,7JF,,,,
Lal,,Right,1,99,Resident Only,,7HV,,,,,,,,,,122,122,122,122,,,,
Lal,,Right,2,100,Resident Only,DV92,,,P99,P100,,,,,,,DV9,DV9,DV9,DV9,,,,
Lal,,Right,3,101,Resident Only,44N,44N,44N,44N,44N,44N,44N,44N,44N,44N,44N,44N,44N,44N,44N,,,,
Lal,,Right,HC,102,Handicapped,613,613,,,,,,,,9BK,9BK,9BK,9BK,9BK,9BK,,,,
Lal,,Right,1,103,Resident Only,5YH,5YH,5YH,5YH,5YH,5YH,5YH,5YH,5YH,5YH,5YH,5YH,5YH,5YH,5YH,,,,
Lal,,Right,1,104,Resident Only,336,,56S,,,,,2X5,2X5,BC9,BC9,BC9,BC9,BC9,BC9,,,,
Lal,,Right,1,105,Resident Only,6B7,6B7,6B7,6B7,6B7,,,5A.M. ,5A.M. ,5A.M. ,5A.M. ,5A.M. ,5A.M. ,5A.M. ,5A.M. ,,,,
Lal,,Right,2,106,Resident Only,,,,,Blocked,,,Blocked,Blocked,Blocked,Blocked,Blocked,Blocked,Blocked,Blocked,,,,
Lal,,Right,1,107,Resident Only,6AP,6AP,6AP,6AP,6AP,6AP,6AP,6AP,6AP,6AP,6AP,6AP,6AP,6AP,6AP,,,,
Lal,,Right,2,108,Resident Only,382,382,382,382,382,382,382,382,382,382,382,382,382,382,382,,,,
Lal,,Right,3,109,Resident Only,,,,,,8MW,,,,15C,15C,15C,15C,15C,15C,,,,
Lal,,Right,1,110,Resident Only,5.A.M,5.A.M,5.A.M,5.A.M,5.A.M,5.A.M,,,,,294,294,294,294,294,,,,
Lal,,Right,2,111,Resident Only,8XM,8XM,8XM,8XM,8XM,,,,,25L,25L,25L,25L,25L,9FB,25L also fit in this spot,,,
Lal,,Right,3,112,Resident Only,5TD,5TD,5TD,5TD,5TD,5TD,5TD,5TD,5TD,5TD,,217,217,217,217,,,,
Lal,,Right,1,113,Resident Only,9FX,9FX,9FX,9FX,9FX,9FX,4GH,4GH,,,729,729,729,729,729,,,,
Lal,,Right,2,114,Resident Only,A28,A28,A28,A28,A28,A28,A28,A28,A28,A28,A28,A28,A28,A28,A28,,,,
Lal,,Right,1,115,Resident Only,9FG,9FG,9FG,9FG,9FG,9FG,9FG,9FG,9FG,9FG,9FG,9FG,9FG,9FG,9FG,,,,
Lal,,Right,2,116,Resident Only,9RX,,473,473,473,1RL,1RL,JT2,JT2,JT2,JT2,JT2,9NX,9NX,9NX,,,,
Lal,,Right,3,117,Resident Only,9GP,9GP,9GP,9GP,1NRV,1NRV,1NRV,1NRV,1NRV,1NRV,,HJM,HJM,1SS,1SS,,,,
Lal,,Right,1,118,Resident Only,27E,27E,1JD,1JD,1JD,,,,6BW,6BW,6BW,6BW,6BW,6BW,6BW,,,,
Lal,,Right,2,119,Resident Only,8PF,8PF,8PF,8PF,8PF,892,892,447,447,9GP,9GP,9GP,9GP,9GP,9GP,,,,
Lal,,Right,3,120,Resident Only,2GG,2GG,2GG,2GG,GGF,GGF,1AG,22F,22F,22F,22F,,1RA,1RA,1RA,,,,
Lal,,Right,1,121,Resident Only,2PB,2PB,,8G9,S71,S71,S71,,3SC,3SC,3SC,,IC4,IC4,IC4,,,,
Lal,,Right,2,122,Resident Only,Blocked,Blocked,,Blocked,Blocked,Blocked,Blocked,,Blocked,Blocked,Blocked,,,Blocked,Blocked,,,,
Lal,,Right,3,123,Resident Only,7PS,7PS,7PS,7PS,7PS,7PS,7PS,7PS,7PS,7PS,7PS,7PS,7PS,7PS,7PS,,,,
